timestamp,simple-path,time
57:38.9,/administrator/configuration/create,1247
57:46.2,/administrator/configuration/create,1233
57:56.2,/administrator/configuration/create,1858
58:04.4,/administrator/configuration/create,680
,Promedio /administrator/configuration/create,1254.5
00:03.7,/authenticated/task/list,2956
00:12.7,/authenticated/task/list,1240
00:20.4,/authenticated/task/list,1242
00:27.9,/authenticated/task/list,1279
00:35.9,/authenticated/task/list,1297
00:44.7,/authenticated/task/list,1293
01:13.2,/authenticated/task/list,1236
01:23.6,/authenticated/task/list,1199
01:32.8,/authenticated/task/list,1195
01:41.8,/authenticated/task/list,1283
01:52.5,/authenticated/task/list,1280
02:02.8,/authenticated/task/list,1325
,Promedio /authenticated/task/list,1402.083333
01:16.5,/authenticated/task/show,1825
01:26.0,/authenticated/task/show,1195
01:34.6,/authenticated/task/show,613
01:44.3,/authenticated/task/show,1274
01:55.1,/authenticated/task/show,1300
02:05.3,/authenticated/task/show,1192
,Promedio /authenticated/task/show,1233.166667
04:23.9,/manager/task/create,1196
05:04.7,/manager/task/create,1404
05:43.5,/manager/task/create,1234
06:23.4,/manager/task/create,1267
07:01.9,/manager/task/create,1147
07:38.7,/manager/task/create,601
08:17.4,/manager/task/create,1236
08:56.2,/manager/task/create,1283
09:35.1,/manager/task/create,1219
10:15.3,/manager/task/create,1207
10:17.9,/manager/task/create,1784
10:25.0,/manager/task/create,1213
10:27.5,/manager/task/create,1224
10:35.4,/manager/task/create,1835
10:39.0,/manager/task/create,1761
10:47.0,/manager/task/create,1175
10:49.4,/manager/task/create,1258
10:55.0,/manager/task/create,1262
10:57.8,/manager/task/create,1198
11:04.4,/manager/task/create,1278
11:06.7,/manager/task/create,1273
11:13.0,/manager/task/create,1218
11:15.4,/manager/task/create,1310
11:22.4,/manager/task/create,1263
11:25.0,/manager/task/create,1291
11:30.7,/manager/task/create,1249
11:33.1,/manager/task/create,1278
11:39.0,/manager/task/create,1262
11:41.2,/manager/task/create,1177
11:47.1,/manager/task/create,1305
11:49.5,/manager/task/create,1313
11:54.8,/manager/task/create,1262
11:57.2,/manager/task/create,1304
12:03.3,/manager/task/create,1309
12:05.6,/manager/task/create,1211
12:12.5,/manager/task/create,1296
12:14.8,/manager/task/create,1257
12:21.0,/manager/task/create,1260
12:23.4,/manager/task/create,1262
12:29.6,/manager/task/create,1309
12:31.9,/manager/task/create,1274
12:37.5,/manager/task/create,1203
12:39.8,/manager/task/create,1271
12:45.6,/manager/task/create,1260
12:48.0,/manager/task/create,1305
12:54.3,/manager/task/create,1280
12:56.8,/manager/task/create,1289
13:03.0,/manager/task/create,1247
13:05.3,/manager/task/create,1251
,Promedio /manager/task/create,1276.959184
02:33.1,/manager/task/list,1830
02:38.0,/manager/task/list,654
02:39.6,/manager/task/list,1194
02:44.6,/manager/task/list,1189
02:51.4,/manager/task/list,1315
03:15.8,/manager/task/list,1189
03:24.4,/manager/task/list,1851
03:31.9,/manager/task/list,1207
03:37.8,/manager/task/list,1230
03:44.2,/manager/task/list,1235
03:52.4,/manager/task/list,1896
13:31.0,/manager/task/list,1265
13:35.3,/manager/task/list,656
14:10.9,/manager/task/list,1176
14:14.7,/manager/task/list,673
14:50.5,/manager/task/list,1220
14:53.7,/manager/task/list,607
15:29.6,/manager/task/list,1436
15:34.5,/manager/task/list,662
16:09.9,/manager/task/list,1219
16:14.2,/manager/task/list,644
16:49.5,/manager/task/list,1278
16:53.6,/manager/task/list,616
,Promedio /manager/task/list,1140.956522
02:36.2,/manager/task/show,2888
13:32.5,/manager/task/show,1252
14:11.8,/manager/task/show,654
14:51.3,/manager/task/show,589
15:31.1,/manager/task/show,1284
16:11.4,/manager/task/show,1284
16:50.9,/manager/task/show,1222
,Promedio /manager/task/show,1310.428571
50:20.5,/master/sign-in,5048
50:32.7,/master/sign-in,1286
51:28.3,/master/sign-in,1207
51:37.8,/master/sign-in,1294
52:17.7,/master/sign-in,617
52:56.6,/master/sign-in,663
53:35.9,/master/sign-in,636
54:16.0,/master/sign-in,657
54:57.8,/master/sign-in,1277
55:38.2,/master/sign-in,1188
56:17.0,/master/sign-in,657
56:56.6,/master/sign-in,667
57:35.2,/master/sign-in,613
57:42.3,/master/sign-in,607
57:50.7,/master/sign-in,1264
58:00.5,/master/sign-in,1221
58:17.4,/master/sign-in,667
58:26.2,/master/sign-in,688
59:02.3,/master/sign-in,618
59:50.1,/master/sign-in,699
59:58.8,/master/sign-in,688
00:09.5,/master/sign-in,1217
00:17.4,/master/sign-in,626
00:24.7,/master/sign-in,634
00:32.6,/master/sign-in,663
00:41.1,/master/sign-in,1223
01:01.9,/master/sign-in,666
01:10.1,/master/sign-in,694
01:20.5,/master/sign-in,656
01:29.8,/master/sign-in,614
01:38.7,/master/sign-in,651
01:48.9,/master/sign-in,1182
01:59.7,/master/sign-in,1176
02:21.6,/master/sign-in,659
02:29.5,/master/sign-in,722
02:41.5,/master/sign-in,635
02:48.2,/master/sign-in,660
03:06.2,/master/sign-in,1291
03:12.9,/master/sign-in,646
03:19.8,/master/sign-in,1196
03:28.9,/master/sign-in,1239
03:34.8,/master/sign-in,635
03:41.1,/master/sign-in,702
03:48.1,/master/sign-in,1217
04:12.8,/master/sign-in,675
04:20.3,/master/sign-in,654
05:00.6,/master/sign-in,1165
05:40.5,/master/sign-in,650
06:19.7,/master/sign-in,1184
06:58.5,/master/sign-in,632
07:36.5,/master/sign-in,611
08:14.4,/master/sign-in,1251
08:53.2,/master/sign-in,1237
09:32.1,/master/sign-in,1218
10:11.5,/master/sign-in,1806
10:21.2,/master/sign-in,1210
10:30.8,/master/sign-in,1295
10:43.4,/master/sign-in,1945
10:52.0,/master/sign-in,1197
11:00.7,/master/sign-in,1342
11:09.4,/master/sign-in,1227
11:18.3,/master/sign-in,1244
11:27.8,/master/sign-in,1230
11:36.0,/master/sign-in,1225
11:44.0,/master/sign-in,1194
11:51.7,/master/sign-in,689
12:00.3,/master/sign-in,1295
12:08.7,/master/sign-in,1181
12:17.5,/master/sign-in,1251
12:26.0,/master/sign-in,1246
12:34.6,/master/sign-in,1198
12:42.6,/master/sign-in,1274
12:50.6,/master/sign-in,1183
13:00.1,/master/sign-in,1324
13:20.5,/master/sign-in,1236
13:28.1,/master/sign-in,672
14:07.9,/master/sign-in,1195
14:47.5,/master/sign-in,1188
15:26.3,/master/sign-in,657
16:06.9,/master/sign-in,658
16:46.5,/master/sign-in,651
17:25.5,/master/sign-in,611
,Promedio /master/sign-in,1019.109756
50:14.3,/master/welcome,14417
50:15.2,/master/welcome,821
50:22.7,/master/welcome,1282
50:28.1,/master/welcome,718
50:29.5,/master/welcome,1203
50:30.5,/master/welcome,856
50:31.3,/master/welcome,762
50:34.9,/master/welcome,1263
51:08.2,/master/welcome,801
51:09.8,/master/welcome,1361
51:10.9,/master/welcome,970
51:26.1,/master/welcome,1169
51:26.9,/master/welcome,765
51:29.8,/master/welcome,659
51:33.7,/master/welcome,604
51:34.5,/master/welcome,649
51:35.6,/master/welcome,762
51:36.3,/master/welcome,625
51:39.9,/master/welcome,1231
51:43.1,/master/welcome,1176
52:14.7,/master/welcome,627
52:15.4,/master/welcome,620
52:16.2,/master/welcome,689
52:16.9,/master/welcome,650
52:19.3,/master/welcome,700
52:22.0,/master/welcome,623
52:53.6,/master/welcome,674
52:54.4,/master/welcome,679
52:55.1,/master/welcome,607
52:55.8,/master/welcome,608
52:58.7,/master/welcome,1176
53:01.4,/master/welcome,673
53:33.1,/master/welcome,629
53:33.9,/master/welcome,610
53:34.5,/master/welcome,545
53:35.1,/master/welcome,567
53:38.0,/master/welcome,1212
53:40.8,/master/welcome,683
